fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol
78;56;19;2;81;17;108;9962;332;54;95
84;745;11;19;9;16;63;9965;319;82;96
83;715;15;18;89;10;52;9968;323;77;95
52;34;0;18;5;27;63;9916;368;79;14
63;39;8;17;66;3;20;9954;334;58;94
52;34;0;18;5;27;63;9916;368;79;14
81;67;55;18;117;32;141;9968;317;62;94
58;68;2;18;87;21;94;9944;354;52;10
76;49;26;16;236;10;88;9968;311;8;93
69;49;1;23;74;12;30;9959;342;58;102
82;4;44;28;89;11;43;9975;353;61;105
73;33;47;21;77;5;11;9958;333;53;103
92;52;1;34;61;32;69;9996;274;2;94
75;6;3;18;95;25;99;995;335;54;101
75;6;3;18;95;25;99;995;335;54;101
71;43;42;55;7;29;129;9973;342;72;105
71;43;42;55;71;28;128;9973;342;71;105
71;43;42;55;7;29;129;9973;342;72;105
71;43;42;55;71;28;128;9973;342;71;105
71;68;0;22;73;12;22;9969;348;5;93
68;6;18;19;79;18;86;9968;359;57;93
76;95;3;2;9;7;20;9959;32;56;96
76;68;2;13;72;9;20;9965;317;108;92
78;53;4;17;76;17;31;9964;333;56;10
74;6;26;73;7;36;121;9982;337;49;94
73;59;26;72;7;35;121;9981;337;49;94
78;63;48;17;1;14;96;9961;319;62;95
68;64;1;21;85;18;101;9956;334;52;102
73;55;3;16;72;17;42;9956;337;48;9
68;63;7;21;89;11;44;9953;347;55;104
75;705;24;18;36;15;63;9964;3;159;95
79;885;3;18;58;4;8;9972;336;33;91
8;42;17;2;73;6;18;9972;329;61;92
8;42;17;2;73;6;18;9972;329;61;92
74;62;5;19;68;24;42;9961;342;57;115
73;38;21;2;8;7;35;9961;333;47;95
69;5;4;15;85;19;49;9958;335;78;95
73;38;21;2;8;7;35;9961;333;47;95
75;52;42;23;87;8;38;9972;358;61;105
7;805;0;25;68;7;20;9969;348;56;96
88;61;14;24;67;10;42;9969;319;59;95
88;61;14;24;67;10;42;9969;319;59;95
89;61;49;2;27;23;110;9972;312;102;93
72;73;2;25;76;16;42;9972;344;52;93
68;61;2;18;77;11;65;9971;354;58;93
67;62;21;19;79;8;62;997;352;58;93
89;31;57;2;111;26;85;9971;326;53;97
74;39;48;2;82;14;67;9972;334;55;92
77;705;1;26;84;9;26;9976;339;49;97
79;5;33;2;84;15;143;9968;32;55;95
79;49;32;19;82;17;144;9968;32;55;95
82;5;35;29;77;21;127;9976;323;62;94
64;37;25;19;74;21;49;9974;357;62;98
68;63;12;38;99;16;126;9969;328;61;95
76;55;21;22;71;7;28;9964;328;55;97
76;55;21;22;71;7;28;9964;328;55;97
78;59;33;2;74;24;120;9968;325;54;94
73;58;3;24;74;15;55;9968;346;59;102
115;3;6;2;67;12;27;9981;311;97;101
54;835;8;12;46;13;93;9924;357;85;13
69;109;6;21;61;12;31;9948;351;43;114
96;32;47;14;56;9;24;99695;322;82;103
88;37;48;21;97;39;145;9975;304;103;93
68;5;11;15;75;16;49;99545;336;79;95
7;42;35;16;88;16;39;9961;334;55;92
7;43;36;16;89;14;37;99615;334;56;92
128;3;74;26;95;9;28;9994;32;77;108
128;3;74;26;95;9;28;9994;32;77;108
78;57;31;18;69;26;120;99625;329;53;93
78;44;28;27;1;18;95;9966;322;67;94
11;3;58;21;54;7;19;998;331;88;105
97;53;6;2;39;5;19;99585;33;86;124
8;725;24;28;83;10;62;99685;335;56;10
116;44;64;21;59;5;15;998;321;67;102
82;57;26;22;6;28;65;9959;33;43;101
78;735;8;24;92;10;41;9974;324;71;98
7;49;49;56;6;26;121;9974;334;76;105
87;625;16;2;101;13;49;9962;314;57;11
81;725;22;22;72;11;41;9967;336;55;91
75;49;19;19;76;10;44;9957;339;54;97
78;53;33;24;8;24;144;99655;33;6;95
78;34;37;2;82;24;58;9964;334;59;94
74;53;26;2;101;16;72;9957;315;57;94
68;61;4;15;57;5;10;99525;342;6;95
86;645;25;2;83;8;28;99815;328;6;10
84;635;36;2;89;15;55;99745;331;57;104
77;43;25;26;73;29;63;99615;337;58;105
89;59;5;2;337;27;81;9964;304;161;95
9;82;14;26;89;9;23;9984;339;63;98
77;43;25;26;73;29;63;99615;337;58;105
69;52;25;26;81;10;37;99685;346;5;11
52;48;4;16;54;19;106;9927;354;62;122
8;38;6;18;78;12;49;99625;337;52;99
85;37;2;28;9;18;58;998;334;7;96
69;52;25;26;81;10;37;99685;346;5;11
82;1;9;23;65;7;37;99685;332;55;9
72;63;0;19;97;14;38;99675;337;58;9
72;63;0;19;97;14;38;99675;337;58;9
72;645;0;19;97;15;39;99675;337;58;92
72;63;0;19;97;14;38;99675;337;58;9
82;1;9;23;65;7;37;99685;332;55;9
89;635;37;17;263;5;62;9971;3;109;93
12;38;56;21;93;6;24;99925;314;71;109
77;58;1;18;102;28;109;99565;308;49;98
15;21;44;22;75;10;24;100005;307;84;92
15;21;44;22;75;10;24;100005;307;84;92
73;66;0;2;84;6;23;9983;361;96;99
71;68;7;19;75;16;51;99685;338;52;95
82;6;17;23;72;11;73;9963;32;45;93
77;53;6;17;74;9;39;99615;335;48;98
73;66;0;2;84;6;23;9983;361;96;99
108;32;44;16;63;16;37;9985;322;78;10
71;6;0;18;74;16;34;9972;347;7;99
111;35;48;31;9;5;21;9986;317;53;105
77;775;42;19;92;8;86;9959;323;59;95
71;6;0;18;74;16;34;9972;347;7;99
8;57;23;32;73;17;119;99675;326;57;93
94;34;37;22;75;5;13;998;322;62;92
66;695;0;21;75;12;56;9968;349;67;92
77;41;76;18;611;8;45;9968;306;126;94
10;31;47;26;85;14;33;99965;336;8;105
79;33;23;17;77;18;45;99625;329;65;93
7;975;4;2;87;12;67;99565;335;6;94
8;52;3;17;7;10;35;99575;334;57;10
79;37;23;18;77;23;49;9963;328;67;93
125;56;49;24;64;5;27;9999;308;87;109
118;26;52;18;71;6;10;9968;32;72;102
81;87;0;33;96;26;61;100025;36;72;98
79;35;46;36;78;15;37;9973;335;86;128
69;54;4;3;77;7;27;9987;369;91;94
115;18;51;4;104;4;23;9996;328;97;101
79;545;6;4;87;27;61;9965;336;67;107
115;18;51;4;104;4;23;9996;328;97;101
109;37;58;4;71;17;65;99935;322;78;101
84;715;2;24;76;10;38;99735;331;64;94
75;65;18;7;88;27;94;99915;338;77;94
79;545;6;4;87;27;61;9965;336;67;107
69;54;4;3;77;7;27;9987;369;91;94
115;18;51;4;104;4;23;9996;328;97;101
103;32;45;64;73;5;13;9976;323;82;126
89;4;32;56;87;10;47;9991;338;77;105
114;26;44;36;71;6;19;9986;312;82;93
77;27;68;35;358;5;10;9972;325;108;99
76;52;12;3;67;12;53;9971;336;57;91
89;4;32;56;87;10;47;9991;338;77;105
99;59;7;34;102;32;71;100015;331;71;98
99;59;7;34;102;32;71;100015;331;71;98
12;45;55;2;73;25;49;9997;31;76;103
75;4;12;3;92;29;53;9967;337;7;103
87;52;9;25;91;20;49;9976;334;86;106
116;42;53;33;105;33;98;1001;32;95;92
87;52;9;25;91;20;49;9976;334;86;106
11;2;48;2;343;6;18;9979;33;71;105
104;55;23;27;91;18;48;9994;322;64;103
69;36;25;24;98;5;16;9964;341;6;101
133;34;52;32;94;17;53;10014;305;81;95
108;5;46;25;73;5;27;10001;305;64;95
106;83;37;26;86;26;70;9981;316;52;99
71;63;6;2;83;8;29;99855;367;73;96
72;65;2;23;94;5;31;9993;367;8;97
69;67;6;21;8;8;33;99845;368;71;96
75;53;6;26;86;20;44;9965;338;59;107
111;18;48;15;68;7;15;9973;322;64;101
83;705;12;26;92;12;28;9994;351;72;10
74;67;12;16;186;5;21;996;339;54;95
84;65;6;21;112;12;90;9973;32;52;92
103;53;48;25;63;6;25;9998;312;59;93
76;62;32;22;82;7;54;9966;336;52;94
103;41;42;24;213;6;14;9994;319;62;95
103;43;44;24;214;5;12;9994;319;63;95
74;29;38;17;62;9;30;9968;341;53;95
103;53;48;25;63;6;25;9998;312;59;93
79;53;24;2;72;15;105;996;327;54;94
9;46;31;28;93;19;98;99815;332;63;95
86;47;3;3;76;30;135;9976;33;53;94
74;36;29;26;87;26;72;99645;339;68;11
71;35;29;25;96;20;53;9962;342;65;11
96;56;23;34;102;37;92;9996;33;65;101
96;77;12;29;82;30;74;99865;33;64;104
98;66;39;32;83;21;59;9989;337;71;115
96;77;12;29;82;30;74;99865;33;64;104
98;66;39;32;83;21;59;9989;337;71;115
93;61;26;34;9;25;87;99975;324;62;97
78;62;5;23;79;6;18;99735;329;63;93
103;59;42;28;9;35;73;999;328;7;95
10;49;2;11;71;13;50;10015;316;69;92
10;49;2;11;71;13;50;10015;316;69;92
116;53;66;365;121;6;14;9978;305;74;115
103;44;5;45;107;5;13;998;328;83;115
134;27;62;26;82;6;21;10002;316;67;97
107;46;39;2;61;7;15;9981;318;62;95
102;36;64;29;122;10;41;998;323;66;125
102;36;64;29;122;10;41;998;323;66;125
8;58;28;32;66;21;114;9973;322;54;94
84;56;8;21;105;16;44;9958;313;52;11
79;65;1;25;78;17;38;9963;334;74;117
119;695;53;34;128;7;21;9992;317;84;122
89;43;45;19;52;6;16;9948;335;7;125
78;43;32;28;8;29;58;9974;331;64;103
124;49;58;3;103;28;99;10008;316;1;115
125;28;54;23;82;12;29;9997;311;136;98
122;34;5;24;66;10;21;1;312;118;92
106;42;48;27;65;5;18;9972;321;87;113
109;39;47;18;118;6;14;9982;33;75;98
109;39;47;18;118;6;14;9982;33;75;98
119;57;5;26;82;6;32;10006;312;78;107
7;685;0;19;67;40;63;9979;36;81;99
66;815;2;27;72;17;34;9955;358;89;123
138;49;67;3;93;6;15;9986;302;93;12
96;56;31;28;89;15;46;9979;311;92;10
91;785;0;26;93;11;28;9994;336;86;94
107;67;22;27;107;17;34;10004;328;98;99
91;795;0;26;96;11;26;9994;335;83;94
77;665;0;24;9;8;19;9974;327;73;93
135;53;79;48;12;23;77;10018;318;77;13
61;21;4;14;66;405;165;9912;325;59;119
67;75;1;24;78;17;32;9955;355;61;128
115;41;52;3;8;29;55;10001;326;88;11
105;42;66;295;116;12;29;997;324;75;117
119;43;66;31;109;10;23;1;315;85;104
126;38;66;26;88;10;41;1001;317;68;98
82;7;23;2;99;14;81;9973;319;7;94
86;45;31;26;86;21;50;9982;337;91;99
119;58;66;25;72;6;37;9992;305;56;10
125;46;63;2;71;6;15;9988;299;87;102
128;615;66;58;83;7;42;10022;307;73;10
10;42;5;34;107;7;21;9979;326;93;118
128;615;66;58;83;7;42;10022;307;73;10
104;575;61;26;76;11;24;1;316;69;9
103;34;52;28;159;15;75;9998;318;64;94
94;27;53;24;74;6;18;9962;32;113;12
69;765;2;23;63;35;63;9975;357;78;99
79;24;4;16;56;11;25;9967;332;87;87
91;28;48;18;67;26;46;9967;332;104;106
74;55;22;22;106;12;72;9959;305;63;92
14;41;63;38;89;6;47;10014;301;81;108
115;54;71;44;124;6;15;9984;301;83;118
115;45;5;3;78;19;47;10003;326;111;11
94;27;53;24;74;6;18;9962;32;113;12
114;625;66;62;88;6;24;9988;311;99;133
83;42;38;25;94;24;60;9979;331;7;108
83;26;42;2;8;11;27;9974;321;8;94
137;415;68;29;85;17;43;10014;306;8;10
83;26;42;2;8;11;27;9974;321;8;94
83;26;42;2;8;11;27;9974;321;8;94
77;51;28;21;87;23;54;998;342;74;92
74;63;7;24;9;11;37;9979;343;76;97
78;54;26;2;88;23;48;9981;341;74;92
83;66;15;19;79;17;42;9972;331;54;96
78;46;26;19;88;23;53;9981;343;74;92
96;38;31;25;96;16;49;9982;319;7;10
56;85;5;14;45;12;88;9924;356;82;129
137;415;68;29;85;17;43;10014;306;8;10
95;37;52;2;82;6;26;998;318;51;95
84;665;61;2;112;13;95;997;316;54;91
127;6;65;23;63;6;25;9997;303;57;99
12;37;76;42;66;7;38;10004;322;6;13
66;735;2;79;122;68;124;9994;347;53;99
115;59;59;26;87;13;49;9988;318;65;11
115;59;59;26;87;13;49;9988;318;65;11
87;765;22;23;64;9;42;9963;31;55;94
66;735;2;79;122;68;124;9994;347;53;99
77;26;3;17;59;20;38;9949;329;47;108
122;48;54;26;85;19;64;1;31;61;105
114;6;49;27;85;10;41;9994;315;63;105
77;69;5;27;75;15;27;9974;326;61;91
87;31;46;14;59;11;25;9966;336;76;101
98;44;47;25;63;9;28;9981;324;65;108
12;39;66;3;93;12;30;9996;318;63;108
104;34;58;37;174;6;16;997;319;7;113
125;46;49;45;7;26;49;9981;305;57;96
9;43;34;25;8;26;86;9987;338;62;95
91;45;35;24;8;23;78;9987;338;62;95
71;735;16;19;1;15;77;9966;327;64;93
99;4;53;67;97;6;19;9986;327;82;117
88;52;34;27;87;24;122;9982;326;61;95
86;725;24;66;117;31;134;10014;332;107;93
106;48;64;22;111;6;20;997;326;66;117
7;58;12;19;91;34;124;9956;344;48;105
119;38;51;2;121;7;20;9996;324;76;104
68;77;0;18;66;34;52;9976;362;68;99
95;56;33;24;89;35;67;9972;328;73;118
66;84;3;23;59;32;48;9952;352;56;123
77;96;2;2;47;15;60;9955;336;44;109
105;24;47;21;66;6;24;9978;315;9;11
77;96;2;2;47;15;60;9955;336;44;109
66;84;3;23;59;32;48;9952;352;56;123
64;67;8;21;45;19;48;9949;349;49;114
95;78;22;19;77;6;32;9988;326;56;106
91;52;33;13;7;9;30;9978;324;6;93
128;84;63;24;88;13;35;9997;31;6;104
105;24;47;21;66;6;24;9978;315;9;11
78;55;35;22;74;21;66;9974;325;56;92
119;37;69;23;78;12;24;9958;3;65;128
123;39;63;23;91;6;18;10004;316;49;95
104;41;55;32;76;22;54;9996;315;89;99
123;39;63;23;91;6;18;10004;316;49;95
8;67;3;2;6;38;62;9958;326;56;102
111;45;73;32;66;6;22;9986;317;66;112
104;41;55;32;76;22;54;9996;315;89;99
7;62;18;15;62;7;50;9951;308;6;93
126;31;72;22;72;6;29;9987;288;82;98
119;4;65;215;68;7;27;9988;306;68;113
156;685;76;37;1;6;43;10032;295;68;112
10;44;49;27;77;11;19;9963;323;63;116
53;57;1;17;54;5;27;9934;357;84;125
95;735;1;21;79;6;31;9986;323;56;101
125;38;6;26;81;31;72;9996;31;73;105
93;48;29;21;127;6;16;9968;322;72;112
86;53;22;2;1;7;27;9967;32;56;102
119;39;69;28;95;17;35;9994;31;61;108
119;39;69;28;95;17;35;9994;31;61;108
84;37;53;18;413;9;26;9979;306;106;91
68;56;3;17;84;18;35;9968;344;63;10
104;33;63;28;84;5;22;9998;326;74;112
7;23;4;16;63;21;67;9952;35;63;111
113;62;67;52;86;6;19;9988;322;69;134
89;59;39;23;95;5;22;9986;337;58;103
92;63;21;27;97;29;65;9988;328;58;96
104;33;63;28;84;5;22;9998;326;74;112
116;58;66;22;74;10;47;10008;325;57;9
92;43;52;23;83;14;23;9976;335;61;113
83;615;22;26;87;6;19;9982;326;61;93
11;26;68;255;85;10;25;997;318;61;118
81;66;7;22;98;25;129;9972;308;53;9
115;315;54;21;84;5;15;9987;298;7;92
10;29;4;29;98;10;26;10006;348;91;97
103;5;42;2;69;21;51;9982;316;72;115
88;46;45;26;65;7;18;9947;332;79;14
114;36;69;21;9;6;21;1;317;62;92
87;82;2;12;7;36;48;9952;32;58;98
13;32;65;26;93;15;47;9996;305;61;106
96;54;42;24;81;25;52;997;32;71;114
125;37;55;26;83;25;68;9995;315;82;104
99;35;55;21;62;5;14;9971;326;79;106
105;28;51;17;8;10;24;9982;32;89;94
96;68;24;22;87;5;28;9988;314;6;102
93;27;41;2;91;6;16;998;328;7;97
104;24;49;18;75;6;20;9977;318;106;11
96;68;24;22;87;5;28;9988;314;6;102
94;685;11;27;77;6;31;9984;319;7;101
106;28;39;155;69;6;23;10026;312;66;92
94;3;56;28;8;6;17;9964;315;92;117
106;36;59;22;152;6;18;9986;304;105;94
106;36;6;22;152;7;18;9986;304;106;94
106;44;68;41;114;6;24;997;306;66;134
102;67;39;19;54;6;17;9976;317;47;10
102;67;39;19;54;6;17;9976;317;47;10
102;645;36;18;53;5;14;9982;317;42;10
116;32;55;28;81;35;67;10002;332;92;108
93;39;4;26;73;10;26;9984;334;75;102
93;775;27;28;78;24;56;9984;331;67;106
92;41;5;25;55;12;25;9952;334;79;133
89;4;51;26;52;13;27;995;332;9;134
87;69;31;3;86;23;81;10002;348;74;116
65;39;23;83;51;28;91;9952;344;55;121
107;35;53;26;7;5;16;9972;315;65;11
78;52;25;19;81;14;38;9984;343;65;9
72;34;32;25;9;43;113;9966;332;79;111
107;35;53;26;7;5;16;9972;315;65;11
87;69;31;3;86;23;81;10002;348;74;116
78;52;25;19;81;14;38;9984;343;65;9
104;44;73;655;74;38;76;999;317;85;12
104;44;73;655;74;38;76;999;317;85;12
105;26;47;19;78;6;24;9976;318;104;109
105;24;42;18;77;6;22;9976;321;105;108
102;49;63;29;72;10;26;9968;316;78;125
104;24;46;18;75;6;21;9976;325;102;108
112;67;55;23;84;6;13;1;317;71;95
10;59;31;22;9;26;62;9994;318;63;102
133;29;75;28;84;23;43;9986;304;68;114
124;42;49;46;73;19;43;9978;302;61;95
10;59;31;22;9;26;62;9994;318;63;102
107;4;48;21;125;15;49;998;303;81;97
105;51;64;24;107;6;15;9973;309;66;118
105;51;64;24;107;6;15;9973;309;66;118
85;655;49;61;122;34;151;1001;331;114;93
125;6;49;43;1;5;14;1001;325;74;119
104;61;49;21;2;5;16;9994;316;63;84
109;21;49;28;88;11;32;9972;322;68;117
73;365;49;25;88;39;106;9966;336;78;11
98;25;49;27;88;15;33;9982;342;9;10
76;41;49;2;88;16;43;998;348;64;91
82;39;49;23;99;47;133;9979;338;99;98
93;4;49;25;85;38;142;9978;322;55;94
92;43;49;24;86;23;116;9976;323;64;95
104;64;24;28;105;29;53;9998;324;67;99
73;365;49;25;88;39;106;9966;336;78;11
7;38;49;25;97;33;85;9962;339;77;114
82;42;49;26;84;32;55;9988;334;75;87
99;63;24;24;77;6;33;9974;309;57;94
91;22;24;21;78;1;28;999;341;87;103
119;38;49;27;98;12;42;10004;316;61;103
119;38;49;27;98;12;42;10004;316;61;103
103;27;24;21;72;15;33;9956;322;66;128
10;48;24;27;102;13;32;1;328;56;10
91;22;24;21;78;1;28;999;341;87;103
99;63;24;24;77;6;33;9974;309;57;94
81;825;24;21;84;5;13;9972;337;77;107
129;35;49;58;66;5;35;10014;32;66;12
112;5;74;515;1;5;17;9996;322;62;112
92;59;24;33;101;20;47;9988;326;67;96
95;46;49;63;64;5;17;9988;321;73;11
93;715;24;21;7;5;20;9966;312;59;99
112;66;24;25;85;16;53;9993;306;72;11
143;31;74;18;75;6;15;10008;286;79;84
91;47;49;26;94;38;106;9982;308;59;91
75;55;24;2;78;10;28;9983;345;78;95
106;31;49;25;67;6;21;9987;326;86;107
124;35;49;26;79;27;69;9994;312;75;104
9;53;49;19;171;6;25;9975;327;61;94
68;51;1;21;74;9;25;9958;333;56;95
94;43;24;28;92;14;45;998;319;73;10
95;46;24;27;92;14;44;998;312;74;10
5;104;24;16;5;32;96;9934;374;62;115
155;645;49;42;95;10;23;100315;292;74;111
155;645;49;42;95;10;23;100315;292;74;111
109;53;49;46;118;10;17;10002;307;56;117
156;645;49;42;95;10;23;100315;292;74;111
109;53;49;46;118;10;17;10002;307;56;117
13;47;49;43;85;6;47;10021;33;68;127
127;6;49;28;75;5;19;9994;314;57;114
9;44;49;24;78;26;121;9978;323;58;92
9;54;49;29;94;41;110;9982;308;61;92
76;29;49;27;92;25;60;9971;331;61;101
13;47;49;43;85;6;47;10021;33;68;127
127;6;49;28;75;5;19;9994;314;57;114
87;7;24;25;226;5;15;9991;332;6;9
87;7;24;25;226;5;15;9991;332;6;9
98;5;49;26;25;5;20;999;331;79;107
62;36;24;22;95;19;42;9946;357;57;117
115;35;49;33;7;10;37;10003;332;91;11
62;36;24;22;95;19;42;9946;357;57;117
102;24;49;24;75;10;28;9978;314;61;104
105;59;49;21;7;14;47;9991;33;56;96
106;34;49;32;78;20;78;9992;319;7;10
123;27;49;31;79;28;46;9993;32;8;102
99;5;24;23;103;6;14;9978;334;52;10
88;44;49;28;83;18;111;9982;33;6;95
88;47;49;29;85;17;110;9982;329;6;98
106;31;49;22;63;18;40;9976;314;51;98
123;5;49;22;89;5;14;10002;319;44;96
123;5;49;22;89;5;14;10002;319;44;96
117;49;49;22;83;5;15;1;319;43;92
12;28;49;19;74;10;21;9976;298;66;99
118;33;49;34;93;54;80;10002;33;76;107
76;51;24;24;91;8;38;998;347;66;96
111;31;49;27;94;16;47;9986;312;102;106
73;73;24;19;108;18;102;9967;326;59;93
5;42;24;2;6;19;50;9917;372;74;14
102;29;49;26;59;5;13;9976;305;74;105
9;45;49;26;84;21;75;9987;335;57;97
66;39;49;17;7;23;149;9922;312;5;115
9;45;49;26;84;21;75;9987;335;57;97
99;49;58;35;94;9;43;10004;329;58;9
79;72;17;26;96;20;38;9978;34;53;95
89;595;41;79;86;30;109;9998;327;57;93
124;4;51;2;59;6;24;9994;304;6;93
119;58;58;19;71;5;18;998;309;63;10
85;585;18;21;78;5;30;9967;32;48;98
127;59;45;23;82;11;22;1;3;7;93
82;915;27;21;88;7;23;9962;326;47;10
132;46;52;22;71;12;35;10006;31;56;9
77;835;0;26;81;6;14;9975;33;52;93
132;46;52;22;71;12;35;10006;31;56;9
83;58;13;29;96;14;63;9984;317;62;91
